,Conservation Status,Phylum,Class,Order,Family,Scientific Name,Diet,Common Name,Color,Skin Type,Lifespan,Type,Predators,Birth rate,Conception Period,Habitat Loss,Climate Change,Human Influance,Pollution,Hunting,Predation,Disease,Invasive Species,Food Competition,Number Of Threats,Africa,America,Asia,Europe,Oceania,Ocean,Antarctica,Number Of Locations,IsExtinct
15,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,14,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16,Not Listed,0,0,1,2,Canis Lupus,0,Alaskan Malamute,15,0,15,4,1,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,16,0,9,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
18,Not Listed,0,0,1,2,Canis lupus,0,Alpine Dachsbracke,17,0,12,6,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,18,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,Not Listed,0,0,1,2,Canis lupus,1,American Alsatian,19,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,Not Listed,0,0,1,2,Canis Lupus,0,American Bulldog,20,0,15,7,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,Not Listed,0,0,1,2,Canis lupus,0,American Cocker Spaniel,21,0,15,8,1,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,Not Listed,0,0,1,2,Canis lupus,0,American Coonhound,22,0,12,4,1,7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24,Not Listed,0,0,1,2,Canis lupus,0,American Eskimo Dog,23,0,13,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
25,Not Listed,0,0,1,2,Canis lupus,0,American Foxhound,24,0,10,3,1,7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,25,0,15,9,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,Not Listed,0,0,1,2,Canis lupus,0,American Pit Bull Terrier,26,0,8,7,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,Not Listed,0,0,1,2,Canis Lupus,0,American Staffordshire Terrier,22,0,15,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29,Not Listed,0,0,1,2,Canis Lupus,0,American Water Spaniel,27,0,15,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30,Critically Endangered,0,0,1,1,Panthera pardus orientalis,1,Amur leopard,24,0,10,0,1,2,1,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0
31,Not Listed,0,0,1,2,Canis lupus,0,Anatolian Shepherd Dog,28,0,11,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,Not Listed,0,0,1,2,Canis lupus,0,Appenzeller Dog,24,0,12,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,29,0,14,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,Least Concern,0,0,1,2,Vulpes lagopus,1,Vulpes lagopus,15,1,7,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
35,Least Concern,0,0,1,2,Canus Lupus Arcticus,1,Canus Lupus Arcticus,30,1,7,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,Vulnerable,0,0,1,3,Paradoxurus hermaphroditus,1,Paradoxurus hermaphroditus,4,1,15,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,Endangered,0,0,1,5,Ursus tibetanus,0,Asiatic Black Bear,31,1,15,0,3,2,26,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0
38,Not Listed,0,0,1,2,Canis lupus,0,Aussiedoodle,32,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,33,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,Not Listed,1,0,1,2,Canis lupus,0,Canis lupus,34,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
41,Not Listed,0,0,1,2,Canis lupus,0,Australian Cattle Dog,35,0,15,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
42,Not Listed,0,0,1,2,Canis lupus,0,Australian Kelpie Dog,36,0,10,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
43,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,37,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
44,Not Listed,0,0,1,1,Felis catus,0,Australian Mist,38,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
45,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,3,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,Not Listed,0,0,1,2,Canis lupus,0,Australian Shepherd,39,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0
47,Not Listed,0,0,1,2,Canis Lupus,0,Australian Terrier,40,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
48,Near Threatened,0,0,1,6,Taxidea Taxus,0,Taxidea Taxus,31,1,4,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49,Not Listed,0,0,1,1,Felis catus,0,Balinese cat,41,0,12,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50,Critically Endangered,0,0,1,1,Lynx lynx balcanicus,1,Balkan lynx,42,1,17,0,2,3,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
51,Vulnerable,0,0,1,3,Hemigalus Derbyanus,1,Hemigalus Derbyanus,4,1,15,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
52,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,43,0,12,9,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,Not Listed,0,0,1,2,Canis lupus,0,Basenji Dog,20,0,12,0,1,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,44,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,45,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,Not Listed,0,0,1,2,Canis lupus,0,Basset Hound Dog,46,0,10,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,Not Listed,0,0,1,2,Canis lupus,0,Bavarian Mountain Hound,8,0,12,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,Least Concern,0,0,1,2,Canis lupus familiaris,0,Bea-Tzu,47,1,10,9,1,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59,Least Concern,0,0,1,2,Canis lupus familiaris,0,Beagle Bulldog Hybrid,48,1,10,9,1,4,9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
60,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,49,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61,Not Listed,0,0,1,2,Canis lupus,0,Beagle Dog,46,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,50,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,51,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
64,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,52,0,8,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
65,Endangered,0,0,1,5,Ursidae,0,Ursidae,31,1,15,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0
66,Not Listed,0,0,1,2,Canis lupus,0,Bearded Collie,53,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,Not Listed,0,0,1,2,Canis lupus,0,Beauceron,54,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68,Not Listed,0,0,1,2,Canis Lupus,0,Bedlington Terrier,55,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
69,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,56,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,57,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,Endangered,0,0,1,1,Panthera Tigris Tigris,1,Panthera Tigris Tigris,58,1,18,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
72,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,59,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,Not Listed,0,0,1,2,Canis Lupus,0,Bernese Mountain Dog,24,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,24,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,Not Listed,0,0,1,2,Canis lupus,0,Bichon Frise,23,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
76,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,60,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
77,Vulnerable,0,0,1,3,Arctictis binturong,0,Binturong,61,1,10,0,3,2,13,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0
78,Not Listed,0,0,1,1,Felis catus,0,Birman cat,62,0,12,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
79,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,63,0,10,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80,Not Listed,0,0,1,2,Canis Lupus,0,Black Russian Terrier,2,0,15,0,1,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,Endangered,0,0,1,6,Mustela nigripes,1,Black Footed Ferret,64,0,4,0,5,3,1,1,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0
82,Not Listed,0,0,1,2,Canis lupus,0,Bloodhound,8,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,Not Listed,0,0,1,2,Canis lupus,0,Blue Lacy Dog,65,0,15,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
84,Not Listed,0,0,1,2,Canis lupus,0,Bluetick Coonhound,66,0,11,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
85,Least Concern,0,0,1,1,Lynx rufus,1,Bobcat,67,1,12,0,3,3,9,1,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0
86,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,24,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,68,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
88,Not Listed,0,0,1,2,Canis Lupus,0,Bolognese Dog,23,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,Not Listed,0,0,1,1,Felis catus,0,Bombay,69,0,12,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,22,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
91,Not Listed,0,0,1,2,Canis lupus,0,Border Collie,70,0,15,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
92,Not Listed,0,0,1,2,Canis Lupus,0,Border Terrier,71,0,15,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,31,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
94,Not Listed,0,0,1,2,Canis lupus,0,Boston Terrier,72,0,15,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
95,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,73,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
96,Not Listed,0,0,1,2,Canis lupus,0,Boxer Dog,8,0,15,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,74,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
98,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,75,0,8,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
99,Not Listed,0,0,1,2,Canis lupus,0,Boykin Spaniel,76,0,10,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
100,Not Listed,0,0,1,2,Canis lupus,0,Brazilian Terrier,22,0,15,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
101,Not Listed,0,0,1,2,Canis lupus,1,British Timber,15,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,77,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
103,Endangered,0,0,1,5,Ursus arctos,0,Ursus arctos,8,1,20,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0
104,Near Threatened,0,0,1,7,Hyaena brunnea,0,Brown hyena,78,0,12,0,3,3,13,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
105,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,70,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
106,Not Listed,0,0,1,2,Canis Lupus,0,Bull Terrier,22,0,15,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
107,Not Listed,0,0,1,2,Canis lupus,0,Bulldog,79,0,15,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108,Not Listed,0,0,1,2,Canis Lupus,0,BullMastiff,80,0,15,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109,Not Listed,0,0,1,1,Felis catus,0,Burmese,81,0,13,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
110,Not Listed,0,0,1,2,Canis Lupus,0,Cairn Terrier,24,0,14,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
111,Not Listed,0,0,1,2,Canis Lupus,0,Canaan Dog,24,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
112,Least Concern,0,0,1,1,Lynx canadensis,1, Lynx,82,0,14,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
113,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,83,0,9,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
114,Extinct,0,0,1,1,Panthera leo melanochaitus,1,Cape Lion,84,0,25,9,1,3,1,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1
115,Least Concern,0,0,1,1,Caracal Caracal,1,Caracal Caracal,8,1,12,0,3,3,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
116,Not Listed,0,0,1,2,Canis Lupus,0,Carolina Dog,24,0,19,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
117,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,85,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
118,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,86,2,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
119,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,22,0,15,9,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,87,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
121,Not Listed,0,0,1,2,Canis Lupus,0,Cavalier King Charles Spaniel,24,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
122,Not Listed,0,0,1,2,Canis lupus,0,Cesky Fousek,24,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
123,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,88,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
124,Not Listed,0,0,1,8,Felis catus,0,Felis catus,89,0,11,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
125,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,51,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
126,Vulnerable,0,0,1,1,Acinonyx jubatus,1,Cheetah,90,1,10,0,1,3,13,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,2,0
127,Not Listed,0,0,1,2,Canis Lupus,0,Chesapeake Bay Retriever,24,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
128,Not Listed,0,0,1,2,Canis Lupus,0,Chihuahua,24,0,18,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
129,Not Listed,0,0,1,2,Canis lupus,0,Chinese Crested Dog,24,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
130,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,91,0,9,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
131,Not Listed,0,0,1,2,Canis lupus,0,Chinook,24,0,14,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132,Not Listed,0,0,1,2,Canis lupus,0,Chipoo,92,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
133,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,93,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
134,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,24,2,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
135,Not Listed,0,0,1,2,Canis lupus,0,Chow Chow,94,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
136,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,95,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
137,Vulnerable,0,0,1,1,Neofelis nebulosa,1,Clouded Leopard,96,1,11,0,3,3,12,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0
138,Not Listed,0,0,1,2,Canis lupus,0,Clumber Spaniel,97,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
139,Least Concern,0,0,1,9,Nasua nasua,0,Nasua nasua,72,1,15,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
140,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,70,0,15,9,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
141,Not Listed,0,0,1,2,Canis Lupus,0,Collie,24,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
142,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,98,0,11,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
143,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,51,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
144,Not Listed,0,0,1,1,Felis catus,0,Corn Rex,99,2,11,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
145,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,15,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
146,Least Concern,0,0,1,1,Felis Concolor,1,Felis Concolor,8,1,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
147,Least Concern,0,0,1,2,Canis latrans,1,Canis latrans,100,1,10,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
148,Least Concern,0,0,1,10,Lobodon carcinophaga,1,Crabeater seal,101,0,40,0,1,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
149,Least Concern,0,0,1,2,Vulpes vulpes,1,cross fox,102,1,10,9,5,3,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
150,Not Listed,0,0,1,2,Canis lupus,0,Curly Coated Retriever,103,0,14,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
151,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,104,0,10,9,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
152,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,105,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
153,Not Listed,0,0,1,2,Canis lupus,0,Dachshund,106,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
154,Not Listed,0,0,1,2,Canis lupus,0,Dalmation,107,0,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
155,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,108,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
156,Endangered,0,0,1,2,Lycalopex fulvipes,0,Lycalopex fulvipes,35,1,7,0,1,3,30,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
157,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,109,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
158,Not Listed,0,0,1,2,Canis Lupus,0,Deutsche Bracke,24,0,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
